iter	Passed	Remaining
0	127	127377
1	128	64356
2	130	43323
3	131	32770
4	132	26430
5	134	22229
6	136	19387
7	138	17134
8	139	15366
9	140	13942
10	142	12786
11	143	11815
12	144	10993
13	146	10284
14	147	9665
15	148	9128
16	150	8702
17	152	8299
18	153	7927
19	154	7585
20	156	7279
21	157	6998
22	159	6754
23	160	6533
24	162	6329
25	164	6160
26	166	5990
27	167	5830
28	169	5679
29	172	5578
30	173	5438
31	175	5299
32	176	5174
33	177	5050
34	180	4974
35	181	4870
36	183	4771
37	184	4676
38	185	4582
39	187	4493
40	188	4408
41	189	4326
42	190	4248
43	192	4174
44	194	4135
45	196	4071
46	197	4010
47	199	3952
48	200	3894
49	201	3835
50	203	3781
51	204	3728
52	205	3675
53	206	3626
54	209	3595
55	210	3556
56	212	3519
57	214	3479
58	215	3435
59	216	3393
60	217	3352
61	219	3313
62	220	3275
63	221	3238
64	224	3227
65	225	3195
66	227	3163
67	228	3134
68	229	3101
69	230	3068
70	232	3038
71	233	3007
72	234	2979
73	235	2950
74	237	2926
75	240	2920
76	241	2898
77	243	2875
78	244	2849
79	245	2824
80	246	2799
81	248	2777
82	248	2747
83	249	2725
84	251	2702
85	253	2695
86	255	2679
87	256	2662
88	258	2643
89	259	2625
90	260	2606
91	262	2589
92	263	2571
93	264	2551
94	265	2533
95	267	2521
96	269	2510
97	271	2494
98	272	2480
99	273	2464
100	275	2453
101	277	2438
102	278	2423
103	279	2407
104	280	2391
105	282	2380
106	284	2373
107	285	2361
108	287	2353
109	289	2341
110	290	2328
111	291	2314
112	293	2300
113	294	2287
114	295	2274
115	296	2262
116	298	2254
117	300	2243
118	301	2233
119	302	2221
120	304	2209
121	305	2196
122	306	2185
123	307	2173
124	308	2162
125	310	2150
126	311	2138
127	313	2135
128	314	2125
129	316	2119
130	317	2109
131	319	2098
132	320	2088
133	321	2078
134	322	2068
135	323	2058
136	325	2048
137	326	2039
138	328	2035
139	330	2031
140	332	2022
141	333	2012
142	334	2002
143	335	1993
144	336	1984
145	337	1975
146	338	1966
147	340	1957
148	341	1948
149	343	1948
150	345	1941
151	346	1935
152	348	1927
153	349	1919
154	350	1911
155	351	1904
156	353	1896
157	354	1888
158	355	1880
159	356	1873
160	358	1865
161	359	1859
162	360	1853
163	362	1846
164	363	1839
165	364	1832
166	366	1825
167	367	1818
168	368	1811
169	369	1804
170	370	1797
171	373	1797
172	374	1792
173	376	1786
174	377	1780
175	378	1773
176	379	1766
177	381	1759
178	382	1753
179	383	1746
180	384	1740
181	385	1734
182	388	1734
183	389	1729
184	391	1724
185	392	1719
186	394	1713
187	395	1707
188	396	1701
189	397	1694
190	398	1689
191	399	1683
192	401	1677
193	403	1677
194	405	1672
195	406	1668
196	407	1662
197	409	1656
198	410	1651
199	411	1645
200	412	1640
201	413	1634
202	414	1628
203	415	1623
204	417	1620
205	419	1616
206	420	1611
207	421	1606
208	423	1601
209	424	1596
210	425	1591
211	426	1586
212	428	1581
213	429	1576
214	430	1571
215	431	1567
216	434	1566
217	471	1691
218	473	1688
219	474	1684
220	476	1680
221	478	1677
222	480	1673
223	482	1671
224	484	1667
225	485	1664
226	487	1660
227	489	1657
228	493	1661
229	495	1657
230	497	1657
231	500	1656
232	501	1652
233	503	1646
234	504	1642
235	505	1637
236	507	1634
237	509	1630
238	511	1629
239	514	1628
240	516	1626
241	518	1624
242	519	1619
243	521	1614
244	522	1610
245	523	1605
246	524	1600
247	527	1600
248	529	1596
249	530	1592
250	531	1587
251	533	1582
252	534	1577
253	535	1572
254	536	1568
255	538	1563
256	539	1558
257	540	1554
258	541	1550
259	543	1546
260	545	1543
261	546	1539
262	547	1534
263	548	1530
264	550	1525
265	551	1521
266	552	1516
267	553	1512
268	554	1508
269	557	1507
270	558	1503
271	560	1499
272	561	1495
273	562	1491
274	564	1487
275	565	1483
276	566	1478
277	567	1474
278	568	1470
279	570	1466
280	571	1463
281	573	1459
282	575	1456
283	576	1452
284	577	1448
285	578	1444
286	579	1440
287	580	1436
288	582	1432
289	583	1428
290	584	1424
291	585	1420
292	588	1420
293	590	1417
294	591	1413
295	592	1409
296	594	1406
297	595	1403
298	596	1399
299	598	1395
300	599	1392
301	600	1388
302	602	1384
303	603	1381
304	605	1379
305	606	1375
306	607	1372
307	609	1368
308	610	1364
309	611	1361
310	615	1363
311	619	1366
